anio,departamento,tasa_matriculacion,cobertura_bruta,desercion,repitencia,nivel_desercion
2011,Atlántico,99.32,107.88,2.76,1.82,bajo
2011,Bolívar,91.57,110.41,3.14,4.43,medio
2011,Cesar,94.75,110.47,7.07,1.67,alto
2011,Córdoba,94.53,111.08,4.59,4.07,alto
2011,La Guajira,77.12,89.4,6.17,3.85,alto
2011,Magdalena,94.47,110.51,3.63,1.52,alto
2011,Sucre,103.27,123.04,6.74,0.46,alto
2012,Atlántico,91.59,100.39,3.32,0.8,medio
2012,Bolívar,88.97,103.53,3.39,2.4,medio
2012,Cesar,94.15,109.0,5.13,1.49,alto
2012,Córdoba,93.78,110.73,2.95,2.56,medio
2012,La Guajira,75.42,89.93,6.81,3.44,alto
2012,Magdalena,91.82,108.68,6.22,1.59,alto
2012,Sucre,95.6,112.62,4.83,0.65,alto
2013,Atlántico,86.41,95.58,3.12,1.66,medio
2013,Bolívar,89.66,103.72,2.56,1.91,bajo
2013,Cesar,94.92,109.98,4.53,1.07,alto
2013,Córdoba,93.39,110.67,2.3,2.69,bajo
2013,La Guajira,74.8,87.85,5.27,2.35,alto
2013,Magdalena,96.03,117.11,3.19,1.32,medio
2013,Sucre,96.68,117.32,3.83,0.7,alto
2014,Atlántico,85.81,93.65,3.29,1.82,medio
2014,Bolívar,87.5,98.71,3.53,1.96,medio
2014,Cesar,96.29,111.11,4.95,1.2,alto
2014,Córdoba,93.23,110.59,2.11,2.01,bajo
2014,La Guajira,74.91,88.84,4.48,1.3,alto
2014,Magdalena,90.35,108.4,2.96,0.93,medio
2014,Sucre,96.88,113.29,5.83,1.2,alto
2015,Atlántico,86.17,93.38,1.39,1.69,bajo
2015,Bolívar,88.78,100.18,3.01,1.83,medio
2015,Cesar,95.52,109.85,4.38,1.08,alto
2015,Córdoba,89.54,103.33,2.26,1.79,bajo
2015,La Guajira,74.12,86.61,2.29,1.42,bajo
2015,Magdalena,93.61,108.08,3.54,1.07,medio
2015,Sucre,95.8,112.16,2.65,0.61,bajo
2016,Atlántico,89.7,98.02,2.13,1.23,bajo
2016,Bolívar,89.5,101.18,2.97,2.16,medio
2016,Cesar,97.6,110.73,5.07,1.19,alto
2016,Córdoba,90.3,104.35,3.03,3.75,medio
2016,La Guajira,75.7,88.3,4.62,4.5,alto
2016,Magdalena,92.5,108.24,3.2,5.31,medio
2016,Sucre,96.8,111.51,2.95,0.47,medio
2017,Atlántico,91.1,99.32,1.28,1.11,bajo
2017,Bolívar,90.7,102.17,2.65,4.4,bajo
2017,Cesar,99.1,111.18,3.98,0.92,alto
2017,Córdoba,88.8,101.31,3.03,3.29,medio
2017,La Guajira,75.5,86.51,2.98,4.85,medio
2017,Magdalena,93.6,109.39,2.57,2.52,bajo
2017,Sucre,97.3,111.79,2.7,1.06,bajo
2018,Atlántico,92.53,99.81,1.55,0.74,bajo
2018,Bolívar,92.71,112.48,2.75,3.82,bajo
2018,Cesar,101.41,101.99,3.98,1.24,alto
2018,Córdoba,87.95,108.32,2.23,2.89,bajo
2018,La Guajira,77.72,103.72,2.77,4.75,bajo
2018,Magdalena,95.21,115.66,3.26,1.7,medio
2018,Sucre,98.08,110.42,2.78,1.28,medio
2019,Atlántico,92.07,100.2,1.26,1.0,bajo
2019,Bolívar,99.44,112.39,2.99,3.59,medio
2019,Cesar,90.77,102.06,4.11,1.07,alto
2019,Córdoba,94.23,107.57,2.64,3.42,bajo
2019,La Guajira,92.92,103.71,2.51,3.59,bajo
2019,Magdalena,97.49,114.32,3.5,1.53,medio
2019,Sucre,95.93,108.96,3.0,1.17,medio
2020,Atlántico,92.75,100.38,1.41,4.27,bajo
2020,Bolívar,98.91,110.4,2.03,5.92,bajo
2020,Cesar,89.88,99.16,8.58,5.24,alto
2020,Córdoba,93.27,103.59,2.54,5.84,bajo
2020,La Guajira,94.28,104.74,2.08,5.87,bajo
2020,Magdalena,96.03,110.91,3.87,3.8,alto
2020,Sucre,95.22,107.93,2.0,7.51,bajo
2021,Atlántico,93.93,101.96,1.67,3.82,bajo
2021,Bolívar,99.39,111.33,3.69,4.1,alto
2021,Cesar,89.21,98.8,2.43,6.28,bajo
2021,Córdoba,93.04,103.67,2.95,4.81,medio
2021,La Guajira,99.46,111.61,2.06,6.09,bajo
2021,Magdalena,97.15,112.69,2.07,3.09,bajo
2021,Sucre,95.5,108.54,2.51,3.97,bajo
2022,Atlántico,94.4,103.12,2.64,5.91,bajo
2022,Bolívar,100.32,113.09,4.01,6.85,alto
2022,Cesar,87.94,97.42,6.02,7.44,alto
2022,Córdoba,90.75,101.54,4.09,7.52,alto
2022,La Guajira,99.33,110.67,3.65,9.77,alto
2022,Magdalena,96.16,118.49,4.9,5.02,alto
2022,Sucre,94.48,107.24,3.9,6.12,alto
2023,Atlántico,94.06,102.35,2.34,6.98,bajo
2023,Bolívar,99.62,112.53,3.57,9.27,medio
2023,Cesar,86.89,95.69,4.79,9.53,alto
2023,Córdoba,88.88,99.55,3.52,10.52,medio
2023,La Guajira,98.96,109.45,3.29,12.92,medio
2023,Magdalena,95.34,114.08,3.86,10.4,alto
2023,Sucre,92.5,104.68,3.04,11.56,medio
2024,Atlántico,92.66,100.63,2.17,6.75,bajo
2024,Bolívar,97.87,109.89,3.4,8.63,medio
2024,Cesar,84.87,92.64,4.96,9.43,alto
2024,Córdoba,85.82,94.23,3.53,10.03,medio
2024,La Guajira,100.2,111.72,2.8,12.89,medio
2024,Magdalena,93.43,109.68,3.47,9.83,medio
2024,Sucre,90.69,101.82,3.16,10.09,medio
